year,selling_price,km_driven,fuel,transmission,owner,engine,max_power
2014.0,450000.0,145500.0,1,2,0,1248.0,74.0
2014.0,370000.0,120000.0,1,2,1,1498.0,103.52
2010.0,225000.0,127000.0,1,2,0,1396.0,90.0
2017.0,440000.0,45000.0,2,2,0,1197.0,81.86
2011.0,350000.0,90000.0,1,2,0,1364.0,67.1
2013.0,200000.0,169000.0,1,2,0,1399.0,68.1
2014.0,500000.0,68000.0,1,2,1,1461.0,108.45
2009.0,280000.0,140000.0,1,2,1,1248.0,73.9
2007.0,200000.0,80000.0,2,2,1,1456.1100978059742,91.76934024567429
2009.0,180000.0,90000.0,2,2,1,1061.0,67.0
2016.0,400000.0,40000.0,2,2,0,1198.0,82.0
2016.0,778000.0,70000.0,1,2,1,1248.0,88.5
2012.0,500000.0,53000.0,1,2,1,1396.0,90.0
2016.0,680000.0,100000.0,1,2,0,1396.0,88.73
2011.0,174000.0,100000.0,1,2,1,1461.0,64.1
2017.0,950000.0,50000.0,1,2,0,1498.0,98.6
2015.0,525000.0,40000.0,1,2,0,1248.0,74.0
2012.0,600000.0,72000.0,1,2,0,1248.0,88.8
2018.0,500000.0,35000.0,2,2,0,1199.0,83.81
2016.0,575000.0,45000.0,2,2,0,1197.0,83.1
2017.0,275000.0,28000.0,2,2,0,796.0,47.3
2013.0,300000.0,70000.0,1,2,0,1248.0,73.8
2009.0,220000.0,120000.0,2,2,0,1061.0,67.0
2018.0,254999.0,25000.0,2,2,0,796.0,34.2
2017.0,670000.0,70000.0,1,2,0,1248.0,88.5
2012.0,150000.0,35000.0,2,2,1,796.0,35.0
2018.0,730000.0,2388.0,2,2,0,1197.0,81.83
2017.0,650000.0,16200.0,1,2,0,1248.0,88.5
2019.0,330000.0,10000.0,3,2,1,796.0,40.3
2019.0,366000.0,15000.0,2,2,0,998.0,67.1
2016.0,150000.0,42000.0,2,2,0,1198.0,67.0
2011.0,425000.0,60000.0,1,2,1,2179.0,138.03
2012.0,150000.0,76000.0,2,2,0,796.0,37.0
2018.0,925000.0,28900.0,2,2,0,1497.0,117.3
2013.0,425000.0,86300.0,2,2,0,1497.0,116.3
2018.0,675000.0,23300.0,2,1,0,1197.0,83.14
2018.0,819999.0,32600.0,1,2,0,1248.0,88.5
2018.0,390000.0,10300.0,2,2,0,998.0,67.05
2013.0,700000.0,99000.0,1,2,0,2494.0,100.0
2015.0,425000.0,49800.0,1,2,0,1498.0,98.63
2015.0,600000.0,54700.0,1,2,0,1498.0,98.6
2018.0,850000.0,64000.0,2,2,0,1462.0,103.25
2015.0,525000.0,63000.0,1,2,0,1498.0,98.6
2016.0,950000.0,99000.0,1,2,0,2494.0,100.6
2011.0,265000.0,120000.0,1,2,0,1248.0,88.8
2011.0,190000.0,110000.0,2,2,2,1197.0,78.9
2013.0,425000.0,60000.0,1,2,0,1396.0,88.76
2015.0,630000.0,147000.0,1,2,1,1248.0,74.0
2017.0,600000.0,25000.0,2,2,2,1196.0,86.8
2019.0,650000.0,30000.0,2,2,0,1197.0,83.1
2016.0,540000.0,40000.0,1,2,0,1498.0,108.495
2015.0,630000.0,135000.0,1,2,0,1498.0,98.6
2018.0,448000.0,30000.0,2,1,0,998.0,67.0
